s1_t;s1_v;s1_data;s2_t;s2_v;s2_data;s3_t;s3_v;s3_data;s4_t;s4_v;s4_data;DT_RowId;id;unique_id;monster;originID;monster_n;originName;ancient;efficiency;set;slot;grade;level;m_t;m_v;i_t;i_v;locked;sub_res;sub_cdmg;sub_atkf;sub_acc;sub_atkp;sub_defp;sub_deff;sub_hpp;sub_hpf;sub_spd;sub_crate;quality;max_efficiency
"HP%";14;{"enchanted":false,"gvalue":6};"ATK%";20;{"enchanted":false,"gvalue":6};"SPD";19;{"enchanted":false,"gvalue":4};"HP flat";808;{"enchanted":false,"gvalue":448};"row_1";1;21707544438;0;0;"Inventory";"Inventory";false;96.39;"Energy";1;6;12;"ATK flat";118;"";0;0;"-";"-";"-";"-";20;"-";"-";14;808;19;"-";"Hero";96.39
"SPD";9;{"enchanted":false,"gvalue":3};"HP%";16;{"enchanted":false,"gvalue":4};"ATK%";29;{"enchanted":false,"gvalue":6};"CDmg";6;{"enchanted":false,"gvalue":0};"row_2";2;22405878648;0;0;"Inventory";"Inventory";false;92.73;"Energy";1;6;12;"ATK flat";118;"";0;0;"-";6;"-";"-";29;"-";"-";16;"-";9;"-";"Hero";92.73
"ATK%";30;{"enchanted":false,"gvalue":5};"CDmg";4;{"enchanted":false,"gvalue":0};"ACC";12;{"enchanted":false,"gvalue":0};"HP%";11;{"enchanted":false,"gvalue":3};"row_3";3;32094064631;0;0;"Inventory";"Inventory";false;87.12;"Energy";1;6;12;"ATK flat";118;"";0;0;"-";4;"-";12;30;"-";"-";11;"-";"-";"-";"Legend";87.12
"SPD";12;{"enchanted":false,"gvalue":0};"RES";13;{"enchanted":false,"gvalue":0};"ACC";6;{"enchanted":false,"gvalue":0};"";0;{};"row_4";4;38608846478;0;0;"Inventory";"Inventory";false;69.21;"Energy";1;6;6;"ATK flat";70;"HP flat";236;0;13;"-";"-";6;"-";"-";"-";"-";"-";12;"-";"Hero";83.5
"ATK%";6;{"enchanted":false,"gvalue":0};"ACC";4;{"enchanted":false,"gvalue":0};"CDmg";6;{"enchanted":false,"gvalue":0};"";0;{};"row_5";5;38613739761;0;0;"Inventory";"Inventory";false;55.53;"Energy";1;6;0;"ATK flat";22;"CRate";4;0;"-";6;"-";4;6;"-";"-";"-";"-";"-";"-";"Hero";84.1
"CRate";10;{"enchanted":false,"gvalue":0};"ATK flat";29;{"enchanted":false,"gvalue":0};"DEF%";15;{"enchanted":false,"gvalue":0};"HP%";16;{"enchanted":false,"gvalue":0};"row_6";6;38522197938;0;0;"Inventory";"Inventory";true;86.73;"Energy";2;6;12;"ATK%";47;"ACC";7;0;"-";"-";29;"-";"-";15;"-";16;"-";"-";10;"Legend";86.73
"HP%";5;{"enchanted":false,"gvalue":0};"CRate";14;{"enchanted":false,"gvalue":0};"HP flat";137;{"enchanted":false,"gvalue":0};"DEF flat";24;{"enchanted":false,"gvalue":7};"row_7";7;21669535410;0;0;"Inventory";"Inventory";false;67.54;"Energy";2;6;15;"SPD";42;"CDmg";5;0;"-";"-";"-";"-";"-";"-";24;5;137;"-";14;"Rare";67.54
"HP%";23;{"enchanted":false,"gvalue":7};"RES";19;{"enchanted":false,"gvalue":0};"DEF flat";27;{"enchanted":false,"gvalue":14};"DEF%";15;{"enchanted":true,"gvalue":7};"row_8";8;21722549115;0;0;"Inventory";"Inventory";false;91.43;"Energy";2;6;15;"SPD";42;"";0;0;19;"-";"-";"-";"-";15;27;23;"-";"-";"-";"Hero";91.43
"CDmg";4;{"enchanted":false,"gvalue":0};"ACC";16;{"enchanted":false,"gvalue":0};"DEF%";7;{"enchanted":false,"gvalue":0};"ATK%";7;{"enchanted":false,"gvalue":0};"row_9";9;2456942090;0;0;"Inventory";"Inventory";false;59.78;"Energy";2;5;12;"HP%";37;"";0;0;"-";4;"-";16;7;7;"-";"-";"-";"-";"-";"Unknown";59.78
"HP%";34;{"enchanted":false,"gvalue":6};"DEF%";12;{"enchanted":false,"gvalue":6};"CDmg";6;{"enchanted":false,"gvalue":0};"SPD";10;{"enchanted":false,"gvalue":4};"row_10";10;38188133504;0;0;"Inventory";"Inventory";false;98.38;"Energy";3;6;12;"DEF flat";118;"ACC";4;0;"-";6;"-";"-";"-";12;"-";34;"-";10;"-";"Hero";98.38
"SPD";8;{"enchanted":false,"gvalue":0};"DEF%";19;{"enchanted":false,"gvalue":5};"HP%";16;{"enchanted":false,"gvalue":0};"CDmg";7;{"enchanted":false,"gvalue":0};"row_11";11;38599170502;0;0;"Inventory";"Inventory";false;88.39;"Energy";3;6;12;"DEF flat";118;"CRate";4;0;"-";7;"-";"-";"-";19;"-";16;"-";8;"-";"Hero";88.39
"CDmg";10;{"enchanted":false,"gvalue":0};"DEF%";12;{"enchanted":false,"gvalue":6};"SPD";20;{"enchanted":false,"gvalue":4};"HP%";21;{"enchanted":false,"gvalue":5};"row_12";12;25215723421;0;0;"Inventory";"Inventory";false;99.19;"Energy";3;6;15;"DEF flat";160;"";0;0;"-";10;"-";"-";"-";12;"-";21;"-";20;"-";"Legend";99.19
"CDmg";11;{"enchanted":false,"gvalue":0};"HP flat";653;{"enchanted":false,"gvalue":260};"SPD";13;{"enchanted":false,"gvalue":3};"HP%";30;{"enchanted":false,"gvalue":6};"row_13";13;38557165967;0;0;"Inventory";"Inventory";true;95.42;"Energy";3;6;12;"DEF flat";118;"";0;0;"-";11;"-";"-";"-";"-";"-";30;653;13;"-";"Legend";95.42
"SPD";9;{"enchanted":false,"gvalue":3};"CRate";18;{"enchanted":false,"gvalue":0};"DEF%";22;{"enchanted":false,"gvalue":5};"CDmg";7;{"enchanted":false,"gvalue":0};"row_14";14;37722693647;0;0;"Inventory";"Inventory";true;94.64;"Energy";3;6;12;"DEF flat";118;"";0;0;"-";7;"-";"-";"-";22;"-";"-";"-";9;18;"Hero";94.64
"ACC";7;{"enchanted":false,"gvalue":0};"HP%";19;{"enchanted":false,"gvalue":7};"SPD";18;{"enchanted":false,"gvalue":4};"DEF%";15;{"enchanted":true,"gvalue":8};"row_15";15;38462325260;0;0;"Inventory";"Inventory";false;99.11;"Energy";3;6;12;"DEF flat";118;"RES";6;0;"-";"-";"-";7;"-";15;"-";19;"-";18;"-";"Hero";99.11
"DEF%";6;{"enchanted":false,"gvalue":0};"HP%";8;{"enchanted":false,"gvalue":0};"DEF flat";12;{"enchanted":false,"gvalue":0};"";0;{};"row_16";16;38623181195;0;0;"Inventory";"Inventory";false;54.82;"Energy";4;6;0;"CRate";7;"ATK%";5;0;"-";"-";"-";"-";"-";6;12;8;"-";"-";"-";"Hero";83.39
