s1_t,s1_v,s1_data,s2_t,s2_v,s2_data,s3_t,s3_v,s3_data,s4_t,s4_v,s4_data,ancient,efficiency,set,slot,grade,level,m_t,i_t,i_v
HP%,17,"{""enchanted"":false,""gvalue"":5}",ATK%,12,"{""enchanted"":false,""gvalue"":4}",SPD,18,"{""enchanted"":false,""gvalue"":4}",CRate,9,"{""enchanted"":false,""gvalue"":0}",FALSE,93.75,Energy,1,6,12,ATK flat,,0
CRate,8,"{""enchanted"":true,""gvalue"":0}",CDmg,19,"{""enchanted"":false,""gvalue"":0}",ACC,11,"{""enchanted"":false,""gvalue"":0}",HP flat,684,"{""enchanted"":false,""gvalue"":331}",FALSE,86.91,Energy,2,6,15,ATK%,SPD,5
SPD,10,"{""enchanted"":false,""gvalue"":0}",RES,16,"{""enchanted"":false,""gvalue"":0}",HP%,10,"{""enchanted"":false,""gvalue"":4}",CDmg,11,"{""enchanted"":false,""gvalue"":0}",FALSE,83.78,Energy,3,6,12,DEF flat,HP flat,181
CRate,11,"{""enchanted"":false,""gvalue"":0}",SPD,14,"{""enchanted"":false,""gvalue"":4}",HP%,20,"{""enchanted"":false,""gvalue"":7}",DEF%,18,"{""enchanted"":false,""gvalue"":5}",FALSE,105.65,Energy,3,6,12,DEF flat,RES,7
CDmg,4,"{""enchanted"":false,""gvalue"":0}",DEF%,26,"{""enchanted"":false,""gvalue"":0}",DEF flat,20,"{""enchanted"":false,""gvalue"":0}",CRate,4,"{""enchanted"":false,""gvalue"":0}",FALSE,76.7,Energy,4,6,15,HP%,ACC,6
CRate,12,"{""enchanted"":false,""gvalue"":0}",DEF%,14,"{""enchanted"":true,""gvalue"":7}",CDmg,16,"{""enchanted"":false,""gvalue"":0}",ATK flat,26,"{""enchanted"":false,""gvalue"":15}",FALSE,83.47,Energy,6,6,15,ATK%,,0
HP flat,1289,"{""enchanted"":false,""gvalue"":315}",DEF flat,45,"{""enchanted"":false,""gvalue"":15}",SPD,4,"{""enchanted"":false,""gvalue"":0}",CDmg,11,"{""enchanted"":false,""gvalue"":0}",FALSE,72.01,Energy,6,6,15,HP%,,0
SPD,15,"{""enchanted"":false,""gvalue"":3}",ACC,6,"{""enchanted"":true,""gvalue"":0}",ATK%,23,"{""enchanted"":false,""gvalue"":5}",RES,6,"{""enchanted"":false,""gvalue"":0}",FALSE,84.82,Guard,1,6,14,ATK flat,,0
HP%,10,"{""enchanted"":false,""gvalue"":0}",ACC,18,"{""enchanted"":false,""gvalue"":0}",CRate,6,"{""enchanted"":false,""gvalue"":0}",SPD,12,"{""enchanted"":false,""gvalue"":0}",FALSE,82.14,Guard,1,6,15,ATK flat,,0
ATK%,13,"{""enchanted"":false,""gvalue"":0}",SPD,10,"{""enchanted"":false,""gvalue"":0}",HP%,13,"{""enchanted"":false,""gvalue"":0}",,0,{},FALSE,75.3,Guard,1,6,9,ATK flat,RES,5
