s1_t;s1_v;s1_data;s2_t;s2_v;s2_data;s3_t;s3_v;s3_data;s4_t;s4_v;s4_data;DT_RowId;id;unique_id;monster;originID;monster_n;originName;ancient;efficiency;set;slot;grade;level;m_t;m_v;i_t;i_v;locked;sub_res;sub_cdmg;sub_atkf;sub_acc;sub_atkp;sub_defp;sub_deff;sub_hpp;sub_hpf;sub_spd;sub_crate;quality;max_efficiency
"HP%";17;{"enchanted":false,"gvalue":5};"ATK%";12;{"enchanted":false,"gvalue":4};"SPD";18;{"enchanted":false,"gvalue":4};"CRate";9;{"enchanted":false,"gvalue":0};"row_1";1;37395847405;0;0;"Inventory";"Inventory";false;93.75;"Energy";1;6;12;"ATK flat";118;"";0;0;"-";"-";"-";"-";12;"-";"-";17;"-";18;9;"Legend";93.75
"CRate";8;{"enchanted":true,"gvalue":0};"CDmg";19;{"enchanted":false,"gvalue":0};"ACC";11;{"enchanted":false,"gvalue":0};"HP flat";684;{"enchanted":false,"gvalue":331};"row_2";2;33445936647;0;0;"Inventory";"Inventory";false;86.91;"Energy";2;6;15;"ATK%";63;"SPD";5;0;"-";19;"-";11;"-";"-";"-";"-";684;"-";8;"Hero";86.91
"SPD";10;{"enchanted":false,"gvalue":0};"RES";16;{"enchanted":false,"gvalue":0};"HP%";10;{"enchanted":false,"gvalue":4};"CDmg";11;{"enchanted":false,"gvalue":0};"row_3";3;30612334324;0;0;"Inventory";"Inventory";false;83.78;"Energy";3;6;12;"DEF flat";118;"HP flat";181;0;16;11;"-";"-";"-";"-";"-";10;"-";10;"-";"Legend";83.78
"CRate";11;{"enchanted":false,"gvalue":0};"SPD";14;{"enchanted":false,"gvalue":4};"HP%";20;{"enchanted":false,"gvalue":7};"DEF%";18;{"enchanted":false,"gvalue":5};"row_4";4;32197833525;0;0;"Inventory";"Inventory";false;105.65;"Energy";3;6;12;"DEF flat";118;"RES";7;0;"-";"-";"-";"-";"-";18;"-";20;"-";14;11;"Legend";105.65
"RES";17;{"enchanted":false,"gvalue":0};"DEF%";16;{"enchanted":false,"gvalue":0};"SPD";6;{"enchanted":false,"gvalue":0};"CRate";4;{"enchanted":false,"gvalue":0};"row_5";5;38754617539;0;0;"Inventory";"Inventory";true;81.16;"Energy";3;6;12;"DEF flat";118;"CDmg";4;0;17;"-";"-";"-";"-";16;"-";"-";"-";6;4;"Hero";81.16
"CDmg";4;{"enchanted":false,"gvalue":0};"DEF%";26;{"enchanted":false,"gvalue":0};"DEF flat";20;{"enchanted":false,"gvalue":0};"CRate";4;{"enchanted":false,"gvalue":0};"row_6";6;30664737652;0;0;"Inventory";"Inventory";false;76.7;"Energy";4;6;15;"HP%";63;"ACC";6;0;"-";4;"-";"-";"-";26;20;"-";"-";"-";4;"Hero";76.7
"CRate";12;{"enchanted":false,"gvalue":0};"DEF%";14;{"enchanted":true,"gvalue":7};"CDmg";16;{"enchanted":false,"gvalue":0};"ATK flat";26;{"enchanted":false,"gvalue":15};"row_7";7;34011164482;0;0;"Inventory";"Inventory";false;83.47;"Energy";6;6;15;"ATK%";63;"";0;0;"-";16;26;"-";"-";14;"-";"-";"-";"-";12;"Hero";83.47
"HP flat";1289;{"enchanted":false,"gvalue":315};"DEF flat";45;{"enchanted":false,"gvalue":15};"SPD";4;{"enchanted":false,"gvalue":0};"CDmg";11;{"enchanted":false,"gvalue":0};"row_8";8;33266306360;0;0;"Inventory";"Inventory";false;72.01;"Energy";6;6;15;"HP%";63;"";0;0;"-";11;"-";"-";"-";"-";45;"-";1289;4;"-";"Legend";72.01
"SPD";15;{"enchanted":false,"gvalue":3};"ACC";6;{"enchanted":true,"gvalue":0};"ATK%";23;{"enchanted":false,"gvalue":5};"RES";6;{"enchanted":false,"gvalue":0};"row_9";9;30762081735;0;0;"Inventory";"Inventory";false;84.82;"Guard";1;6;14;"ATK flat";134;"";0;0;6;"-";"-";6;23;"-";"-";"-";"-";15;"-";"Hero";84.82
"HP%";10;{"enchanted":false,"gvalue":0};"ACC";18;{"enchanted":false,"gvalue":0};"CRate";6;{"enchanted":false,"gvalue":0};"SPD";12;{"enchanted":false,"gvalue":0};"row_10";10;34268842251;0;0;"Inventory";"Inventory";false;82.14;"Guard";1;6;15;"ATK flat";160;"";0;0;"-";"-";"-";18;"-";"-";"-";10;"-";12;6;"Legend";82.14
"ATK%";13;{"enchanted":false,"gvalue":0};"SPD";10;{"enchanted":false,"gvalue":0};"HP%";13;{"enchanted":false,"gvalue":0};"";0;{};"row_11";11;38359846273;0;0;"Inventory";"Inventory";false;75.3;"Guard";1;6;9;"ATK flat";94;"RES";5;0;"-";"-";"-";"-";13;"-";"-";13;"-";10;"-";"Hero";82.44
"SPD";15;{"enchanted":false,"gvalue":0};"HP%";13;{"enchanted":false,"gvalue":0};"ATK%";5;{"enchanted":false,"gvalue":0};"";0;{};"row_12";12;38360181266;0;0;"Inventory";"Inventory";false;74.4;"Guard";1;6;9;"ATK flat";94;"CRate";4;0;"-";"-";"-";"-";5;"-";"-";13;"-";15;"-";"Hero";81.55
"ATK%";13;{"enchanted":false,"gvalue":7};"HP%";12;{"enchanted":false,"gvalue":5};"CDmg";23;{"enchanted":false,"gvalue":0};"ACC";7;{"enchanted":false,"gvalue":0};"row_13";13;38387220988;0;0;"Inventory";"Inventory";false;94.9;"Guard";1;6;12;"ATK flat";118;"RES";8;0;"-";23;"-";7;13;"-";"-";12;"-";"-";"-";"Hero";94.9
"ATK%";17;{"enchanted":false,"gvalue":9};"CDmg";11;{"enchanted":false,"gvalue":0};"CRate";13;{"enchanted":false,"gvalue":0};"SPD";9;{"enchanted":false,"gvalue":3};"row_14";14;38397600069;0;0;"Inventory";"Inventory";false;88.31;"Guard";1;6;12;"ATK flat";118;"";0;0;"-";11;"-";"-";17;"-";"-";"-";"-";9;13;"Hero";88.31
"HP%";6;{"enchanted":false,"gvalue":0};"ATK%";32;{"enchanted":false,"gvalue":5};"CRate";4;{"enchanted":true,"gvalue":0};"SPD";5;{"enchanted":false,"gvalue":0};"row_15";15;38424675686;0;0;"Inventory";"Inventory";false;86.61;"Guard";1;6;12;"ATK flat";118;"RES";7;0;"-";"-";"-";"-";32;"-";"-";6;"-";5;4;"Hero";86.61
"HP%";22;{"enchanted":false,"gvalue":6};"SPD";14;{"enchanted":false,"gvalue":4};"ATK%";12;{"enchanted":false,"gvalue":6};"ACC";20;{"enchanted":false,"gvalue":0};"row_16";16;38068356538;0;0;"Inventory";"Inventory";false;105.36;"Guard";1;6;12;"ATK flat";118;"CRate";4;0;"-";"-";"-";20;12;"-";"-";22;"-";14;"-";"Legend";105.36
"SPD";6;{"enchanted":false,"gvalue":0};"ACC";11;{"enchanted":false,"gvalue":0};"ATK%";20;{"enchanted":false,"gvalue":0};"";0;{};"row_17";17;38539158293;0;0;"Inventory";"Inventory";false;70.54;"Guard";1;6;9;"ATK flat";94;"";0;0;"-";"-";"-";11;20;"-";"-";"-";"-";6;"-";"Hero";77.68
"RES";8;{"enchanted":false,"gvalue":0};"HP%";12;{"enchanted":false,"gvalue":0};"CRate";12;{"enchanted":false,"gvalue":0};"";0;{};"row_18";18;38559530573;0;0;"Inventory";"Inventory";false;69.62;"Guard";1;6;6;"ATK flat";70;"HP flat";185;0;8;"-";"-";"-";"-";"-";"-";12;"-";"-";12;"Hero";83.9
"RES";8;{"enchanted":false,"gvalue":0};"ATK%";30;{"enchanted":false,"gvalue":6};"SPD";15;{"enchanted":false,"gvalue":3};"HP flat";752;{"enchanted":false,"gvalue":436};"row_19";19;38559673987;0;0;"Inventory";"Inventory";false;100.02;"Guard";1;6;12;"ATK flat";118;"HP%";6;0;8;"-";"-";"-";30;"-";"-";"-";752;15;"-";"Hero";100.02
"ACC";14;{"enchanted":false,"gvalue":0};"ATK%";10;{"enchanted":false,"gvalue":0};"RES";21;{"enchanted":false,"gvalue":0};"";0;{};"row_20";20;38647694048;0;0;"Inventory";"Inventory";true;77.94;"Guard";1;6;9;"ATK flat";94;"HP flat";215;0;21;"-";"-";14;10;"-";"-";"-";"-";"-";"-";"Hero";85.08
"HP%";8;{"enchanted":false,"gvalue":0};"SPD";5;{"enchanted":false,"gvalue":0};"CRate";5;{"enchanted":false,"gvalue":0};"";0;{};"row_21";21;38792741959;0;0;"Inventory";"Inventory";false;54.76;"Guard";1;6;0;"ATK flat";22;"";0;0;"-";"-";"-";"-";"-";"-";"-";8;"-";5;5;"Hero";83.33
"DEF%";19;{"enchanted":false,"gvalue":4};"ACC";13;{"enchanted":false,"gvalue":0};"ATK%";20;{"enchanted":false,"gvalue":5};"";0;{};"row_22";22;37931467447;0;0;"Inventory";"Inventory";false;87.5;"Guard";2;6;9;"SPD";25;"HP%";6;0;"-";"-";"-";13;20;19;"-";"-";"-";"-";"-";"Hero";94.64
"CDmg";5;{"enchanted":false,"gvalue":0};"CRate";12;{"enchanted":false,"gvalue":0};"SPD";15;{"enchanted":false,"gvalue":0};"";0;{};"row_23";23;38097362710;0;0;"Inventory";"Inventory";false;75.1;"Guard";2;6;9;"DEF%";38;"ATK flat";12;0;"-";5;"-";"-";"-";"-";"-";"-";"-";15;12;"Hero";82.24
"HP%";6;{"enchanted":false,"gvalue":0};"DEF%";27;{"enchanted":false,"gvalue":0};"ACC";8;{"enchanted":false,"gvalue":0};"";0;{};"row_24";24;38471572331;0;0;"Inventory";"Inventory";false;75;"Guard";2;6;9;"ATK%";38;"DEF flat";15;0;"-";"-";"-";8;"-";27;"-";6;"-";"-";"-";"Hero";82.14
"DEF%";30;{"enchanted":false,"gvalue":6};"SPD";6;{"enchanted":false,"gvalue":2};"ACC";6;{"enchanted":true,"gvalue":0};"HP%";11;{"enchanted":false,"gvalue":0};"row_25";25;30750260055;0;0;"Inventory";"Inventory";false;84.23;"Guard";3;5;15;"DEF flat";135;"CRate";4;0;"-";"-";"-";6;"-";30;"-";11;"-";6;"-";"Legend";84.23
"ACC";13;{"enchanted":false,"gvalue":0};"RES";16;{"enchanted":false,"gvalue":0};"SPD";11;{"enchanted":false,"gvalue":0};"CDmg";11;{"enchanted":false,"gvalue":0};"row_26";26;31879468914;0;0;"Inventory";"Inventory";false;85.93;"Guard";3;6;12;"DEF flat";118;"";0;0;16;11;"-";13;"-";"-";"-";"-";"-";11;"-";"Legend";85.93
"CRate";5;{"enchanted":false,"gvalue":0};"RES";8;{"enchanted":false,"gvalue":0};"SPD";10;{"enchanted":false,"gvalue":0};"CDmg";14;{"enchanted":false,"gvalue":0};"row_27";27;36640386721;0;0;"Inventory";"Inventory";false;75;"Guard";3;6;6;"DEF flat";70;"";0;0;8;14;"-";"-";"-";"-";"-";"-";"-";10;5;"Legend";89.29
"HP flat";397;{"enchanted":false,"gvalue":0};"DEF%";13;{"enchanted":false,"gvalue":0};"ACC";10;{"enchanted":false,"gvalue":0};"HP%";16;{"enchanted":false,"gvalue":0};"row_28";28;38410595483;0;0;"Inventory";"Inventory";false;74.32;"Guard";3;6;12;"DEF flat";118;"";0;0;"-";"-";"-";10;"-";13;"-";16;397;"-";"-";"Legend";74.32
"CDmg";21;{"enchanted":false,"gvalue":0};"CRate";11;{"enchanted":false,"gvalue":0};"DEF%";7;{"enchanted":false,"gvalue":0};"";0;{};"row_29";29;38508166436;0;0;"Inventory";"Inventory";true;82.74;"Guard";3;6;9;"DEF flat";94;"ACC";7;0;"-";21;"-";"-";"-";7;"-";"-";"-";"-";11;"Hero";89.88
"HP flat";330;{"enchanted":false,"gvalue":0};"RES";5;{"enchanted":false,"gvalue":0};"DEF%";20;{"enchanted":false,"gvalue":0};"CDmg";11;{"enchanted":false,"gvalue":0};"row_30";30;38530545891;0;0;"Inventory";"Inventory";false;72.4;"Guard";3;6;9;"DEF flat";94;"";0;0;5;11;"-";"-";"-";20;"-";"-";330;"-";"-";"Legend";79.55
"DEF%";19;{"enchanted":false,"gvalue":6};"SPD";14;{"enchanted":false,"gvalue":4};"HP%";18;{"enchanted":false,"gvalue":7};"ATK%";15;{"enchanted":true,"gvalue":6};"row_31";31;38410327234;0;0;"Inventory";"Inventory";false;103.27;"Guard";4;6;12;"CDmg";59;"RES";5;0;"-";"-";"-";"-";15;19;"-";18;"-";14;"-";"Hero";103.27
"SPD";18;{"enchanted":false,"gvalue":2};"RES";7;{"enchanted":false,"gvalue":0};"DEF%";12;{"enchanted":false,"gvalue":0};"HP flat";371;{"enchanted":false,"gvalue":0};"row_32";32;38617762622;0;0;"Inventory";"Inventory";false;77.64;"Guard";4;6;12;"HP%";47;"";0;0;7;"-";"-";"-";"-";12;"-";"-";371;18;"-";"Hero";77.64
"CRate";16;{"enchanted":false,"gvalue":0};"DEF%";9;{"enchanted":false,"gvalue":3};"SPD";12;{"enchanted":false,"gvalue":3};"ACC";5;{"enchanted":false,"gvalue":0};"row_33";33;31993020218;0;0;"Inventory";"Inventory";false;86.65;"Guard";5;6;15;"HP flat";2448;"CDmg";5;0;"-";"-";"-";5;"-";9;"-";"-";"-";12;16;"Hero";86.65
"DEF%";7;{"enchanted":false,"gvalue":0};"ACC";20;{"enchanted":false,"gvalue":0};"HP%";14;{"enchanted":false,"gvalue":0};"";0;{};"row_34";34;34097736592;0;0;"Inventory";"Inventory";false;72.32;"Guard";5;6;10;"HP flat";1560;"";0;0;"-";"-";"-";20;"-";7;"-";14;"-";"-";"-";"Hero";79.46
"DEF%";21;{"enchanted":false,"gvalue":6};"HP%";14;{"enchanted":true,"gvalue":6};"SPD";19;{"enchanted":false,"gvalue":3};"CDmg";4;{"enchanted":false,"gvalue":0};"row_35";35;37904952135;0;0;"Inventory";"Inventory";false;100.81;"Guard";5;6;12;"HP flat";1800;"CRate";6;0;"-";4;"-";"-";"-";21;"-";14;"-";19;"-";"Hero";100.81
"HP%";19;{"enchanted":false,"gvalue":6};"CRate";12;{"enchanted":false,"gvalue":0};"SPD";19;{"enchanted":false,"gvalue":4};"DEF%";15;{"enchanted":true,"gvalue":6};"row_36";36;38426682111;0;0;"Inventory";"Inventory";false;102.98;"Guard";5;6;12;"HP flat";1800;"";0;0;"-";"-";"-";"-";"-";15;"-";19;"-";19;12;"Legend";102.98
"RES";10;{"enchanted":false,"gvalue":0};"SPD";17;{"enchanted":false,"gvalue":0};"CRate";10;{"enchanted":false,"gvalue":0};"CDmg";7;{"enchanted":false,"gvalue":0};"row_37";37;38559659179;0;0;"Inventory";"Inventory";false;83.93;"Guard";5;6;12;"HP flat";1800;"";0;0;10;7;"-";"-";"-";"-";"-";"-";"-";17;10;"Legend";83.93
"CRate";15;{"enchanted":false,"gvalue":0};"CDmg";6;{"enchanted":false,"gvalue":0};"ATK flat";32;{"enchanted":false,"gvalue":16};"HP%";31;{"enchanted":false,"gvalue":7};"row_38";38;32165774247;0;0;"Inventory";"Inventory";false;98.44;"Guard";6;6;15;"ATK%";63;"DEF%";6;0;"-";6;32;"-";"-";"-";"-";31;"-";"-";15;"Legend";98.44
"ACC";7;{"enchanted":false,"gvalue":0};"SPD";12;{"enchanted":false,"gvalue":2};"HP%";21;{"enchanted":false,"gvalue":0};"HP flat";214;{"enchanted":false,"gvalue":0};"row_39";39;38548404539;0;0;"Inventory";"Inventory";false;77.04;"Guard";6;6;12;"DEF%";47;"";0;0;"-";"-";"-";7;"-";"-";"-";21;214;12;"-";"Hero";77.04
"HP%";16;{"enchanted":false,"gvalue":0};"DEF%";13;{"enchanted":false,"gvalue":0};"SPD";5;{"enchanted":false,"gvalue":0};"";0;{};"row_40";40;38559295355;0;0;"Inventory";"Inventory";false;67.56;"Guard";6;6;9;"RES";39;"";0;0;"-";"-";"-";"-";"-";13;"-";16;"-";5;"-";"Hero";74.7
"CRate";8;{"enchanted":false,"gvalue":0};"HP%";12;{"enchanted":false,"gvalue":0};"ATK%";14;{"enchanted":false,"gvalue":0};"";0;{};"row_41";41;38747546373;0;0;"Inventory";"Inventory";false;73.81;"Guard";6;6;9;"RES";39;"DEF%";6;0;"-";"-";"-";"-";14;"-";"-";12;"-";"-";8;"Hero";80.95
"CRate";8;{"enchanted":false,"gvalue":0};"HP flat";289;{"enchanted":false,"gvalue":0};"RES";6;{"enchanted":false,"gvalue":0};"HP%";13;{"enchanted":false,"gvalue":0};"row_42";42;36438622265;0;0;"Inventory";"Inventory";false;64.95;"Swift";1;6;6;"ATK flat";70;"";0;0;6;"-";"-";"-";"-";"-";"-";13;289;"-";8;"Legend";79.24
"ACC";15;{"enchanted":false,"gvalue":0};"HP%";14;{"enchanted":false,"gvalue":0};"SPD";5;{"enchanted":false,"gvalue":0};"RES";13;{"enchanted":false,"gvalue":0};"row_43";43;37095010501;0;0;"Inventory";"Inventory";false;79.17;"Swift";1;6;12;"ATK flat";118;"";0;0;13;"-";"-";15;"-";"-";"-";14;"-";5;"-";"Legend";79.17
"SPD";10;{"enchanted":false,"gvalue":0};"CRate";16;{"enchanted":false,"gvalue":0};"CDmg";7;{"enchanted":false,"gvalue":0};"ACC";5;{"enchanted":false,"gvalue":0};"row_44";44;37150160703;0;0;"Inventory";"Inventory";false;83.63;"Swift";1;6;12;"ATK flat";118;"RES";6;0;"-";7;"-";5;"-";"-";"-";"-";"-";10;16;"Hero";83.63
"CDmg";19;{"enchanted":false,"gvalue":0};"HP%";7;{"enchanted":false,"gvalue":0};"SPD";10;{"enchanted":false,"gvalue":0};"RES";7;{"enchanted":false,"gvalue":0};"row_45";45;38005473783;0;0;"Inventory";"Inventory";false;79.51;"Swift";1;6;12;"ATK flat";118;"";0;0;7;19;"-";"-";"-";"-";"-";7;"-";10;"-";"Hero";79.51
"SPD";6;{"enchanted":false,"gvalue":0};"HP flat";405;{"enchanted":false,"gvalue":0};"CDmg";4;{"enchanted":false,"gvalue":0};"RES";14;{"enchanted":false,"gvalue":0};"row_46";46;38606801576;0;0;"Inventory";"Inventory";false;63.3;"Swift";1;6;9;"ATK flat";94;"";0;0;14;4;"-";"-";"-";"-";"-";"-";405;6;"-";"Legend";70.44
"CDmg";14;{"enchanted":false,"gvalue":0};"ATK flat";41;{"enchanted":true,"gvalue":16};"SPD";16;{"enchanted":false,"gvalue":0};"ACC";7;{"enchanted":false,"gvalue":0};"row_47";47;32949885364;0;0;"Inventory";"Inventory";false;85.3;"Swift";2;6;15;"ATK%";63;"DEF flat";15;0;"-";14;41;7;"-";"-";"-";"-";"-";16;"-";"Legend";85.3
"CRate";18;{"enchanted":false,"gvalue":0};"HP%";6;{"enchanted":false,"gvalue":0};"HP flat";476;{"enchanted":false,"gvalue":0};"ATK flat";19;{"enchanted":false,"gvalue":0};"row_48";48;33354732120;0;0;"Inventory";"Inventory";false;70.43;"Swift";2;6;15;"ATK%";63;"";0;0;"-";"-";19;"-";"-";"-";"-";6;476;"-";18;"Hero";70.43
"HP flat";91;{"enchanted":false,"gvalue":0};"";0;{};"";0;{};"";0;{};"row_49";49;38732305939;0;0;"Inventory";"Inventory";false;25.24;"Swift";2;4;0;"ATK%";5;"";0;0;"-";"-";"-";"-";"-";"-";"-";"-";91;"-";"-";"Magic";53.81
"ACC";14;{"enchanted":false,"gvalue":0};"RES";15;{"enchanted":false,"gvalue":0};"SPD";4;{"enchanted":false,"gvalue":0};"HP%";5;{"enchanted":false,"gvalue":0};"row_50";50;30568309357;0;0;"Inventory";"Inventory";false;70.83;"Swift";3;6;12;"DEF flat";118;"";0;0;15;"-";"-";14;"-";"-";"-";5;"-";4;"-";"Hero";70.83
